,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)",Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Israel,13.6,17.7,10.0,0.36,9.6,0.14,1.01,6.8,72.2,0.82,2.1,73.9,54.4,18748.0,31687.0,15.1,15.5,14.7,71.2,6.1,7.1,7.1,97.2,0.976,0.19699999999999998,6.1,22.8,26825.0,168.7,88.0,106.0,103.0,49.0,21.2,25124.0,0.4,10.0,2.4,0.8390000000000001,0.86,0.853,0.835,22.8,5.0,5.0,2417.0,20.9,53.2,69.7,61.2,78.9,81.0,76.7,0.9059999999999999,0.86,8.0,12.0,12.0,11.8,28.0,73.2,55.0,5.6,103.0,6.9,8.6,8.6,8.6,8.6,8.6,2.45,16.2,69.7,22.8,8.6,8.6,8.6,8.6,8.6,8.6,100.0,100.0,8.6,73.5,71.4,73.6,3.7,0.6,6.0,0.6,91.2,2.4,-4.6,96.3,14.0,2.4,0.14,6.0,100.0,1.06,45.4,12.5,2.9,12.0,1.0,10.0,11.1,17.3,7.4,37.6,45.4,1.01
 Italy,9.4,6.4,7.0,0.22,7.9,0.16,1.11,7.6,34.5,0.7,5.2,63.0,42.7,22593.0,51038.0,14.9,15.0,14.7,50.5,1.2,28.5,28.5,91.7,0.9520000000000001,0.17800000000000002,4.3,20.7,36536.0,2080.4,97.0,103.0,92.0,49.0,20.4,36394.0,0.3,7.0,1.3,0.805,0.846,0.83,0.8909999999999999,20.7,5.0,26.0,41181.0,23.1,35.5,61.2,47.8,79.5,82.5,76.5,0.9159999999999999,0.846,5.0,8.6,8.2,9.0,40.4,73.7,51.0,4.8,101.0,5.6,0.8,0.8,0.8,0.8,0.8,2.45,26.9,61.2,20.7,0.8,0.8,0.8,0.8,0.8,0.8,100.0,81.9,0.8,64.5,59.3,69.0,38.7,10.4,57.3,2.6,67.2,1.3,1.1,99.8,11.0,1.3,0.16,5.1,100.0,1.06,37.1,10.0,2.8,8.7,1.76,7.0,10.8,31.4,15.3,37.6,21.2,1.11
 Jamaica,6.8,93.8,6.0,0.49,3.9,9.77,1.17,5.8,46.3,0.5479999999999999,20.9,62.2,56.4,5490.0,9972.0,10.9,11.1,10.5,89.5,4.7,31.5,31.5,84.6,0.976,0.47200000000000003,5.0,23.5,7931.0,21.1,83.0,96.0,85.0,15.0,23.2,7717.0,2.2,6.0,33.4,0.667,0.6829999999999999,0.662,0.6559999999999999,23.5,3.0,12.0,1323.0,3.1,55.9,77.9,66.7,72.3,75.2,69.6,0.805,0.6829999999999999,89.0,7.3,8.9,8.4,24.9,13.8,125.0,18.8,212.0,22.0,-6.4,-6.4,-6.4,-6.4,-6.4,0.1,13.1,77.9,23.5,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,90.8,83.8,-6.4,61.0,51.1,54.0,1.6,0.2,2.7,0.3,51.8,33.4,-3.7,96.3,25.0,33.4,9.77,11.9,76.8,1.05,46.1,16.0,0.1,0.4,1.71,6.0,15.5,35.8,38.1,7.3,53.5,1.17
 Japan,10.0,4.4,36.0,0.28,9.6,0.02,0.88,7.2,295.0,0.754,5.1,63.5,59.6,22748.0,46447.0,14.3,14.1,14.4,19.8,0.2,68.2,68.2,80.7,0.958,0.135,3.5,27.3,33872.0,4296.4,83.0,98.0,99.0,48.0,27.4,34386.0,0.4,36.0,0.5,0.8340000000000001,0.87,0.855,0.882,27.3,12.0,4.0,4757.0,30.0,49.3,76.6,62.6,81.2,84.5,77.7,0.941,0.87,10.0,10.7,10.5,11.0,41.2,52.4,48.0,3.3,98.0,4.5,-0.2,-0.2,-0.2,-0.2,-0.2,2.45,24.9,76.6,27.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,98.5,100.0,-0.2,74.2,77.2,79.3,87.0,21.7,127.5,6.0,78.6,0.5,1.4,99.8,21.0,0.5,0.02,3.9,100.0,1.06,40.3,10.7,9.8,27.5,0.92,36.0,4.7,9.1,16.3,37.6,21.7,0.88
 Jordan,12.6,40.2,7.5,0.42,3.0,21.81,1.13,9.6,78.7,0.6709999999999999,4.4,74.8,36.3,1710.0,12511.0,12.7,13.0,12.5,110.3,10.8,1.1,1.1,98.5,0.8370000000000001,0.631,4.1,22.4,7235.0,36.9,29.0,95.0,82.0,27.0,21.1,7309.0,0.1,7.5,4.9,0.605,0.723,0.7020000000000001,0.648,22.4,9.0,6.0,1580.0,2.6,12.7,68.9,42.0,71.7,73.3,70.4,0.7959999999999999,0.723,77.0,9.5,9.0,8.7,19.6,7.6,114.0,23.4,149.0,27.9,-6.2,-6.2,-6.2,-6.2,-6.2,6.5,5.3,68.9,22.4,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,99.6,98.5,-6.2,55.5,36.8,41.9,2.9,0.2,5.1,0.7,78.3,4.9,-8.6,96.3,25.0,4.9,21.81,2.1,95.9,1.05,12.9,2.5,2.8,6.7,1.97,7.5,13.7,31.4,12.1,27.1,68.7,1.13
 Kazakhstan,-21.3,42.1,166.0,0.8,7.9,0.37,1.23,4.2,12.3,0.6920000000000001,36.1,47.8,62.0,7090.0,12937.0,12.3,12.6,12.1,105.7,7.5,1.2,1.2,97.3,1.003,0.40399999999999997,3.3,18.1,9952.0,148.1,20.0,96.0,93.0,32.0,17.3,9902.0,0.1,166.0,15.4,0.685,0.682,0.685,0.6940000000000001,18.1,2.0,1.0,1683.0,0.7,65.6,77.1,71.0,63.5,69.5,57.9,0.669,0.682,65.0,10.5,10.2,10.8,27.8,1.3,171.0,37.1,410.0,43.0,-17.0,-17.0,-17.0,-17.0,-17.0,1.1,10.4,77.1,18.1,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,86.2,96.9,-17.0,89.0,81.5,91.6,9.9,1.0,15.1,1.1,56.1,15.4,-6.7,98.3,25.0,15.4,0.37,2.5,98.2,1.06,49.3,11.2,12.4,70.3,1.44,166.0,12.8,13.0,38.4,20.4,42.0,1.23
 Kenya,-2.2,111.5,451.0,0.15,0.3,4.23,1.32,5.2,35.7,0.408,46.2,39.8,63.6,1766.0,2462.0,8.4,8.2,8.5,53.3,0.9,6.3,6.3,18.2,0.888,0.695,5.2,17.4,2132.0,67.1,42.0,95.0,39.0,3.0,16.7,2112.0,10.2,451.0,4.9,0.424,0.47700000000000004,0.451,0.461,17.4,17.0,22.0,899.0,0.3,68.5,73.1,70.8,51.8,53.8,49.8,0.488,0.47700000000000004,759.0,5.3,4.1,6.5,17.0,0.4,441.0,62.8,520.0,100.8,-0.1,-0.1,-0.1,-0.1,-0.1,4.1,5.2,73.1,17.4,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,46.4,31.0,-0.1,21.4,15.1,32.2,16.4,0.8,31.4,5.4,19.9,4.9,-0.8,42.6,34.0,4.9,4.23,79.0,7.4,1.03,39.0,3.6,4.5,18.8,1.9,451.0,10.1,20.2,58.8,43.0,86.5,1.32
 Korea (Republic of),18.9,2.9,49.0,0.46,9.5,0.8,0.82,4.0,70.9,0.787,10.6,61.3,58.4,13928.0,27228.0,15.6,14.7,16.5,67.9,2.0,65.2,65.2,84.0,0.925,0.191,4.1,32.9,20757.0,975.7,45.0,101.0,96.0,77.0,31.6,20601.0,0.4,49.0,4.9,0.782,0.845,0.8170000000000001,0.805,32.9,3.0,5.0,5322.0,44.7,48.8,73.7,61.1,76.0,79.7,72.3,0.862,0.845,16.0,10.6,9.6,11.6,31.9,56.6,61.0,6.4,160.0,7.5,0.7,0.7,0.7,0.7,0.7,2.45,9.9,73.7,32.9,0.7,0.7,0.7,0.7,0.7,0.7,88.6,100.0,0.7,77.7,69.6,84.9,34.2,3.4,47.4,3.2,79.6,4.9,-3.4,99.9,32.0,4.9,0.8,0.7,100.0,1.1,40.0,5.9,8.5,20.8,0.7,49.0,4.4,10.8,35.5,0.6,28.6,0.82
 Kuwait,31.7,26.3,29.0,0.37,26.1,0.87,1.08,2.5,70.4,0.595,2.9,75.2,66.7,40247.0,110840.0,14.0,14.7,13.4,86.6,0.0,0.3,0.3,100.0,0.972,0.583,4.1,10.7,69920.0,143.4,45.0,98.0,91.0,22.0,10.7,81503.0,0.1,29.0,4.9,0.7609999999999999,0.7829999999999999,0.7859999999999999,1.0,10.7,2.0,1.0,78.0,6.7,44.4,81.7,67.3,73.2,74.3,72.4,0.818,0.7829999999999999,7.0,6.2,6.1,5.9,27.8,23.2,70.0,11.0,105.0,12.7,26.4,26.4,26.4,26.4,26.4,2.45,2.2,81.7,10.7,26.4,26.4,26.4,26.4,26.4,26.4,100.0,100.0,26.4,49.0,46.6,49.1,1.4,0.0,2.1,0.2,99.0,4.9,32.7,100.0,14.0,4.9,0.87,0.0,100.0,1.04,26.3,0.1,1.9,4.0,1.13,29.0,0.8,4.2,2.3,0.1,40.5,1.08
 Kyrgyzstan,-2.4,62.5,244.0,0.46,0.9,0.16,1.12,4.4,12.2,0.657,49.7,36.6,59.4,1420.0,2455.0,11.8,11.9,11.6,89.4,-0.2,4.5,4.5,62.8,0.9590000000000001,0.47600000000000003,3.5,20.0,2075.0,10.2,10.0,96.0,85.0,35.0,18.3,1932.0,0.1,244.0,8.7,0.578,0.603,0.594,0.447,20.0,1.0,2.0,59.0,1.0,55.1,73.9,64.3,66.3,70.4,62.4,0.713,0.603,74.0,9.8,9.7,10.0,22.5,0.2,150.0,42.1,298.0,49.4,-1.1,-1.1,-1.1,-1.1,-1.1,16.7,9.2,73.9,20.0,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,80.3,91.9,-1.1,79.8,87.3,79.7,2.9,0.3,4.9,0.5,35.3,8.7,0.6,98.6,24.0,8.7,0.16,35.2,99.7,1.07,43.3,6.0,5.0,26.4,1.27,244.0,7.5,13.7,54.7,66.6,58.7,1.12
 Lao People's Democratic Republic,-6.9,87.3,330.0,0.07,0.2,0.04,0.93,4.7,9.0,0.35200000000000004,83.0,13.7,78.6,2077.0,2758.0,8.0,7.0,8.9,68.8,2.0,71.6,71.6,75.9,0.847,0.578,1.5,13.4,2485.0,13.2,8.0,107.0,34.0,3.0,13.4,2416.0,0.1,330.0,10.7,0.426,0.504,0.466,0.48100000000000004,13.4,17.0,58.0,191.0,0.1,79.1,81.1,80.1,58.9,60.3,57.5,0.599,0.504,546.0,3.9,2.9,5.0,18.0,0.2,250.0,82.5,298.0,116.5,-5.3,-5.3,-5.3,-5.3,-5.3,16.9,6.7,81.1,13.4,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,45.8,28.0,-5.3,20.6,14.0,27.8,2.8,0.2,5.3,0.8,22.0,10.7,-2.05,16.7,30.0,10.7,0.04,85.5,28.3,1.05,39.8,21.2,12.2,23.9,0.9,330.0,1.8,4.1,90.0,98.8,81.8,0.93
 Latvia,-6.3,21.9,122.0,0.24,2.7,3.18,1.01,7.9,34.5,0.7070000000000001,14.9,58.3,48.1,8466.0,14332.0,14.1,15.0,13.2,81.8,4.1,52.1,52.1,63.4,1.033,0.276,5.3,24.7,11175.0,26.5,56.0,98.0,90.0,57.0,25.2,11162.0,0.5,122.0,10.0,0.748,0.7240000000000001,0.728,0.7120000000000001,24.7,1.0,3.0,509.0,6.3,48.9,64.9,56.1,69.7,75.3,64.0,0.765,0.7240000000000001,30.0,9.5,10.5,10.2,37.9,16.8,122.0,11.5,330.0,14.2,-3.8,-3.8,-3.8,-3.8,-3.8,2.45,22.3,64.9,24.7,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,97.7,86.5,-3.8,82.7,82.9,88.2,1.6,0.4,2.4,0.1,68.1,10.0,-0.8,100.0,15.0,10.0,3.18,35.8,100.0,1.07,49.7,17.0,9.9,57.2,0.89,122.0,14.2,21.3,10.8,37.6,26.6,1.01
 Lesotho,6.8,94.0,992.0,0.56,1.0,53.83,1.32,5.8,3.1,0.45,63.2,24.2,56.7,2508.0,3677.0,10.3,10.7,9.8,71.4,3.7,1.4,1.4,75.9,0.9690000000000001,0.594,10.1,22.0,1781.0,3.3,19.0,117.0,32.0,2.0,20.4,3070.0,22.5,992.0,4.9,0.45799999999999996,0.473,0.467,0.517,22.0,13.0,26.0,302.0,0.2,68.2,79.9,73.6,48.4,49.5,47.2,0.43700000000000006,0.473,649.0,4.9,5.4,4.6,18.7,1.2,548.0,80.2,590.0,110.3,-8.2,-8.2,-8.2,-8.2,-8.2,3.3,8.3,79.9,22.0,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,66.4,7.2,-8.2,14.9,23.7,18.4,1.0,0.1,1.9,0.3,19.5,4.9,-3.7,48.1,48.0,4.9,53.83,56.7,1.3,1.03,56.3,10.7,9.8,23.2,1.71,992.0,23.0,29.9,63.6,70.8,76.1,1.32
 Liberia,6.8,152.1,240.0,0.17,0.1,0.87,0.82,3.8,174.5,0.408,49.7,42.4,52.1,542.0,770.0,10.5,8.8,12.3,70.3,3.9,48.1,48.1,75.9,0.759,0.69,4.1,7.5,839.0,2.4,74.0,113.0,35.0,19.0,7.5,656.0,4.2,240.0,4.9,0.332,0.43700000000000006,0.387,0.284,7.5,20.0,37.0,813.0,0.0,53.0,57.5,55.2,52.4,53.1,51.8,0.499,0.43700000000000006,1270.0,3.5,1.8,5.2,18.1,0.1,301.0,124.3,332.0,183.9,36.3,36.3,36.3,36.3,36.3,15.8,5.8,57.5,7.5,36.3,36.3,36.3,36.3,36.3,36.3,61.7,13.1,36.3,23.5,11.4,35.5,1.5,0.1,2.9,0.5,44.3,4.9,-2.05,50.9,38.0,4.9,0.87,90.8,0.0,1.05,47.0,11.1,5.4,14.8,0.63,240.0,5.6,4.7,80.1,89.4,80.6,0.82
 Libya,6.8,8.3,40.0,0.4,8.8,0.02,1.18,3.4,50.7,0.621,10.0,63.6,40.4,7480.0,30722.0,15.7,16.0,15.3,45.3,0.4,0.1,0.1,99.1,0.889,0.47400000000000003,4.1,11.8,21922.0,117.4,45.0,101.0,78.0,48.0,11.6,19545.0,0.4,40.0,3.7,0.672,0.7559999999999999,0.727,0.797,11.8,3.0,7.0,813.0,0.2,24.4,74.1,50.4,70.5,72.3,68.9,0.777,0.7559999999999999,17.0,5.6,4.9,6.2,22.1,0.7,120.0,24.2,168.0,28.2,-2.2,-2.2,-2.2,-2.2,-2.2,2.45,6.0,74.1,11.8,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,88.6,99.7,-2.2,36.3,34.0,38.3,3.3,0.2,5.4,0.6,76.4,3.7,1.7,96.3,25.0,3.7,0.02,2.0,99.1,1.06,21.3,10.4,4.1,9.7,1.6,40.0,19.8,44.8,37.5,4.5,54.2,1.18
 Lithuania,1.7,31.8,102.0,0.28,3.5,0.43,0.97,5.8,34.5,0.762,19.2,54.0,50.6,9499.0,14704.0,14.6,15.1,14.1,83.3,3.3,32.2,32.2,58.7,1.025,0.281,4.1,18.8,12190.0,42.7,52.0,102.0,98.0,51.0,19.1,11935.0,0.1,102.0,10.6,0.763,0.745,0.7559999999999999,0.722,18.8,1.0,3.0,1083.0,6.4,54.8,66.5,60.1,71.0,76.8,65.1,0.784,0.745,16.0,10.7,10.6,10.7,35.9,15.0,103.0,8.5,293.0,10.7,-5.3,-5.3,-5.3,-5.3,-5.3,2.45,21.1,66.5,18.8,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,90.0,84.9,-5.3,83.1,80.3,85.8,2.3,0.5,3.5,0.2,67.0,10.6,-5.5,100.0,16.0,10.6,0.43,17.2,100.0,1.06,53.5,10.6,15.3,80.0,0.75,102.0,15.9,28.6,18.0,37.6,30.3,0.97
 Luxembourg,28.2,10.2,12.0,0.23,18.9,2.72,1.12,5.9,34.5,0.7170000000000001,2.4,76.8,52.1,43757.0,91387.0,13.4,13.6,13.3,272.0,3.1,33.5,33.5,83.4,0.98,0.175,4.1,22.3,81690.0,35.6,78.0,100.0,97.0,10.0,20.2,67215.0,0.4,12.0,0.9,0.8370000000000001,0.8540000000000001,0.855,0.983,22.3,1.0,7.0,852.0,22.9,41.4,66.0,53.4,77.7,80.8,74.3,0.887,0.8540000000000001,13.0,10.3,10.0,10.3,37.3,69.5,73.0,3.8,127.0,4.6,9.4,9.4,9.4,9.4,9.4,2.45,21.0,66.0,22.3,9.4,9.4,9.4,9.4,9.4,9.4,99.9,97.7,9.4,62.9,60.7,63.9,0.3,0.1,0.4,0.0,84.2,0.9,-2.05,96.3,25.0,0.9,2.72,6.9,100.0,1.05,40.2,16.7,7.4,20.0,1.72,12.0,2.4,6.4,3.4,37.6,28.3,1.12
 Madagascar,1.1,155.1,293.0,0.08,0.1,0.29,1.02,5.3,15.2,0.39899999999999997,77.8,16.1,81.6,1183.0,1656.0,8.2,7.9,8.4,68.7,2.1,22.4,22.4,75.9,0.9329999999999999,0.47400000000000003,2.9,15.0,1444.0,22.8,3.0,101.0,78.0,2.0,15.0,1418.0,0.2,293.0,11.4,0.64,0.688,0.456,0.401,15.0,26.0,43.0,160.0,0.2,84.2,89.2,86.7,58.5,59.7,57.3,0.5920000000000001,0.688,536.0,5.2,7.1,7.5,17.3,0.4,262.0,68.8,300.0,107.6,-0.1,-0.1,-0.1,-0.1,-0.1,8.5,5.7,89.2,15.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,36.7,4.6,-0.1,47.9,46.35,49.2,8.2,0.5,15.8,2.8,27.1,11.4,-2.05,47.0,48.0,11.4,0.29,78.4,0.6,1.02,45.7,8.0,5.0,13.8,1.11,293.0,5.8,9.8,82.4,83.5,87.0,1.02
 Malawi,-9.6,163.5,392.0,0.09,0.1,0.04,1.08,4.4,7.7,0.37799999999999995,85.2,5.9,71.4,1308.0,1781.0,9.9,9.4,10.4,60.9,1.5,37.8,37.8,75.9,0.867,0.691,5.2,13.6,866.0,9.9,45.0,134.0,30.0,0.0,12.3,1541.0,15.2,392.0,6.2,0.371,0.42700000000000005,0.39899999999999997,0.413,13.6,2.0,27.0,228.0,0.1,75.7,79.2,77.4,46.5,48.2,44.7,0.40700000000000003,0.42700000000000005,890.0,3.0,2.1,4.2,16.5,0.4,517.0,103.4,624.0,174.7,-0.7,-0.7,-0.7,-0.7,-0.7,26.3,5.7,79.2,13.6,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,51.6,34.5,-0.7,8.6,4.5,13.2,5.7,0.3,11.4,2.1,14.6,6.2,-1.5,55.6,25.0,6.2,0.04,82.5,1.0,1.02,34.5,9.3,4.8,21.0,1.41,392.0,7.7,10.5,65.4,85.4,93.2,1.08
 Malaysia,14.9,14.8,75.0,0.33,5.4,0.36,1.06,2.4,138.4,0.619,18.4,49.5,59.9,9016.0,20911.0,11.9,12.2,11.7,220.4,4.0,65.7,65.7,95.0,0.9259999999999999,0.336,6.0,26.9,16310.0,378.2,52.0,99.0,78.0,22.0,25.3,15076.0,0.7,75.0,2.4,0.693,0.748,0.725,0.758,26.9,1.0,4.0,10222.0,21.4,44.7,78.3,61.7,72.8,75.0,70.8,0.812,0.748,58.0,8.6,8.0,9.2,23.8,22.1,99.0,8.7,171.0,10.2,4.5,4.5,4.5,4.5,4.5,0.1,6.2,78.3,26.9,4.5,4.5,4.5,4.5,4.5,4.5,98.2,96.8,4.5,54.4,49.9,58.8,14.5,0.9,23.2,2.7,62.0,2.4,0.8,96.6,20.0,2.4,0.36,6.7,95.4,1.06,37.3,14.5,4.8,11.2,1.21,75.0,3.0,9.5,22.8,4.5,53.2,1.06
 Maldives,6.8,48.2,59.0,0.17,1.6,0.35,1.13,7.4,34.8,0.43,16.5,60.6,53.2,4901.0,12130.0,11.8,11.8,11.8,71.4,3.6,3.3,3.3,75.9,0.902,0.541,4.1,22.0,9768.0,2.7,60.0,128.0,51.0,22.0,20.4,8561.0,0.4,59.0,4.9,0.57,0.632,0.606,0.672,22.0,2.0,1.0,467.0,2.2,37.5,71.0,54.3,69.9,71.1,69.2,0.768,0.632,163.0,3.0,2.8,3.3,18.6,2.7,119.0,35.0,143.0,43.5,-0.8,-0.8,-0.8,-0.8,-0.8,3.2,6.6,71.0,22.0,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,88.6,78.1,-0.8,23.1,17.9,17.6,0.2,0.0,0.3,0.0,27.7,4.9,-3.6,0.0,23.0,4.9,0.35,2.1,78.2,1.06,37.0,6.0,23.4,26.4,1.69,59.0,2.0,4.4,64.3,43.4,73.3,1.13
 Mali,0.4,190.9,77.0,0.05,0.1,2.48,1.09,5.1,11.7,0.168,45.7,38.4,48.0,858.0,2059.0,4.6,3.8,5.4,55.4,2.0,4.8,4.8,75.9,0.736,0.726,3.0,17.2,1463.0,16.0,2.0,58.0,17.0,2.0,17.7,1454.0,1.6,77.0,12.9,0.254,0.34600000000000003,0.308,0.40399999999999997,17.2,39.0,51.0,86.0,0.1,35.7,66.8,50.8,48.1,48.8,47.4,0.43200000000000005,0.34600000000000003,834.0,1.2,0.6,1.4,16.6,0.1,319.0,115.5,338.0,219.8,-2.8,-2.8,-2.8,-2.8,-2.8,9.9,6.6,66.8,17.2,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,49.2,19.3,-2.8,4.0,1.7,7.2,5.5,0.4,11.0,2.1,28.4,12.9,-3.2,96.3,65.0,12.9,2.48,85.4,1.1,1.05,43.9,12.2,6.3,14.1,1.35,77.0,5.5,8.5,88.1,86.7,92.9,1.09
 Malta,6.8,18.7,4.6,0.21,5.3,0.41,0.9,6.5,34.5,0.648,2.0,65.2,46.8,11773.0,36545.0,13.7,13.9,13.8,245.9,17.3,1.1,1.1,75.9,0.898,0.322,4.1,26.6,24624.0,9.6,99.0,107.0,90.0,21.0,22.5,24117.0,0.1,4.6,1.0,0.7170000000000001,0.799,0.7829999999999999,0.8290000000000001,26.6,3.0,26.0,1216.0,13.1,29.9,70.6,50.0,78.0,79.7,76.3,0.893,0.799,15.0,8.1,5.9,7.5,36.2,28.9,54.0,6.8,91.0,7.7,3.3,3.3,3.3,3.3,3.3,0.5,18.0,70.6,26.6,3.3,3.3,3.3,3.3,3.3,3.3,100.0,100.0,3.3,38.9,33.3,44.7,0.3,0.0,0.4,0.0,92.4,1.0,3.0,96.3,19.0,1.0,0.41,0.0,100.0,1.06,30.8,9.2,2.4,9.1,1.06,4.6,6.3,11.9,9.6,37.6,29.3,0.9
 Mauritania,6.8,102.0,250.0,0.16,0.4,0.87,1.08,4.5,34.5,0.27899999999999997,79.5,12.9,46.1,1339.0,4231.0,6.5,6.1,6.9,75.3,3.1,0.3,0.3,75.9,0.79,0.755,4.1,20.6,2751.0,7.5,45.0,82.0,18.0,22.0,16.2,2785.0,0.8,250.0,13.7,0.384,0.486,0.442,0.503,20.6,27.0,54.0,30.0,0.2,30.2,73.6,51.6,60.0,61.6,58.4,0.616,0.486,813.0,3.0,2.1,3.9,18.2,0.6,205.0,69.4,255.0,113.1,1.0,1.0,1.0,1.0,1.0,17.1,5.9,73.6,20.6,1.0,1.0,1.0,1.0,1.0,1.0,53.6,23.3,1.0,9.8,4.9,15.2,1.5,0.1,2.7,0.4,38.1,13.7,-2.05,96.3,45.0,13.7,0.87,44.4,87.9,1.05,17.9,3.0,4.9,12.1,1.24,250.0,10.7,16.9,53.6,35.3,80.3,1.08
