,"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Coefficient of Human Inequality,Concentration index (exports) (value),Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Gender Development Index (GDI),Gender Inequality Index (GII),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),Homeless people due to natural disaster (average annual per million people),"Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)",Private capital flows (% of GDP),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Iraq,79.3,43.0,0.56,1.23,22.0,0.9690000000000001,3.4,8.7,0.502,20.3,60.1,43.0,5696.0,28241.0,10.1,9.7,11.5,75.8,1.8,1.9,1.9,0.8190000000000001,0.508,24.4,15073.0,544.4,30.5,17105.0,43.0,0.593,0.7240000000000001,0.6679999999999999,0.777,22.0,22.0,22.0,24.4,30.6,16.1,19.3,0.348,0.519,0.6509999999999999,0.616,27.0,43.0,1915.5,17.2,18.4,74.7,46.6,69.7,71.9,67.5,0.764,0.7240000000000001,50.0,6.6,5.4,7.8,19.4,92.9,26.7,32.2,2.8,2.8,2.8,2.8,2.8,5.5,74.7,22.3,24.4,2.8,2.8,2.8,2.8,2.8,2.8,86.1,85.7,2.8,45.6,35.8,55.5,20.3,1.1,36.1,5.6,69.9,-2.1,0.56,0.8,99.5,1.07,12.4,26.5,2.06,43.0,7.7,16.8,35.6,72.3,1.23
 Ireland,10.8,7.2,0.21,0.88,7.7,0.243,7.8,107.1,0.91,5.6,75.3,54.6,38166.0,59106.0,19.6,19.7,19.5,216.2,81.0,10.9,10.9,0.9790000000000001,0.131,21.2,60818.0,286.0,20.3,48551.0,7.2,0.917,0.937,0.929,0.934,7.7,7.7,7.7,21.2,3.0,16.3,3.7,0.883,0.856,0.782,0.9079999999999999,2.0,7.0,9528.0,83.5,52.6,68.1,60.2,81.3,83.3,79.3,0.943,0.937,8.0,12.3,12.5,11.9,36.9,104.3,3.1,3.7,-6.0,-6.0,-6.0,-6.0,-6.0,20.3,68.1,7.9,21.2,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,98.9,92.2,-6.0,87.5,86.8,85.9,3.1,0.6,4.7,0.4,62.5,-60.6,0.21,9.1,100.0,1.06,47.3,19.9,0.71,7.2,9.4,20.7,12.6,33.4,0.88
 Israel,10.4,4.0,0.28,1.03,12.9,0.273,7.4,82.3,0.8759999999999999,1.0,81.2,60.8,23742.0,39856.0,16.0,16.5,15.5,59.5,3.8,7.6,7.6,0.973,0.107,19.8,32024.0,268.4,18.9,31734.0,4.0,0.887,0.9109999999999999,0.9009999999999999,0.87,12.9,12.9,12.9,19.8,8.4,26.4,3.9,0.802,0.779,0.6409999999999999,0.922,5.0,2.0,2799.0,77.4,59.0,69.5,64.1,82.3,84.0,80.5,0.9590000000000001,0.9109999999999999,5.0,13.0,13.0,13.0,30.2,131.1,3.0,3.8,0.5,0.5,0.5,0.5,0.5,18.4,69.5,13.5,19.8,0.5,0.5,0.5,0.5,0.5,0.5,100.0,100.0,0.5,88.8,87.3,90.3,4.9,0.9,8.1,0.8,92.2,2.2,0.28,3.7,100.0,1.06,47.1,26.7,1.06,4.0,5.3,9.3,8.1,45.7,1.03
 Italy,6.2,6.7,0.52,1.04,11.2,0.052000000000000005,9.0,169.7,0.7909999999999999,3.8,69.7,42.6,24693.0,44051.0,16.3,16.6,15.9,56.9,0.7,31.6,31.6,0.9670000000000001,0.09,17.3,34302.0,2083.2,16.9,34115.0,6.7,0.86,0.889,0.8759999999999999,0.8809999999999999,11.2,11.2,11.2,17.3,9.9,20.8,3.0,0.713,0.775,0.698,0.937,3.0,15.0,50732.0,58.1,39.0,58.4,48.4,82.8,85.0,80.5,0.966,0.889,4.0,10.2,10.0,10.4,45.9,147.4,2.9,3.4,0.9,0.9,0.9,0.9,0.9,35.0,58.4,11.5,17.3,0.9,0.9,0.9,0.9,0.9,0.9,100.0,99.3,0.9,78.5,74.3,83.0,38.0,13.3,59.5,2.6,69.6,6.0,0.52,16.5,100.0,1.06,41.9,30.1,1.12,6.7,11.9,40.5,17.8,21.5,1.04
 Jamaica,56.8,4.5,16.64,1.19,15.9,0.526,5.9,49.8,0.6859999999999999,18.5,66.0,57.8,5877.0,9825.0,13.1,14.4,12.8,76.1,6.5,31.0,31.0,0.982,0.425,21.3,8095.0,23.2,21.2,7841.0,4.5,0.725,0.738,0.73,0.659,15.9,15.9,15.9,21.3,5.6,30.1,11.9,0.648,0.609,0.46,0.757,3.0,9.0,2123.0,42.2,56.7,77.2,66.8,75.8,78.3,73.5,0.8590000000000001,0.738,89.0,9.6,9.7,9.5,29.4,109.2,13.6,15.8,-6.5,-6.5,-6.5,-6.5,-6.5,13.8,77.2,16.6,21.3,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,92.9,85.4,-6.5,65.2,68.9,61.1,1.9,0.3,2.9,0.2,54.8,-15.6,16.64,16.8,94.0,1.05,45.9,16.7,1.78,4.5,13.5,31.4,38.1,34.9,1.19
 Japan,4.3,16.0,0.08,0.92,12.2,0.135,10.9,341.8,0.8390000000000001,3.6,70.5,58.0,26985.0,52236.0,15.2,15.2,15.3,35.6,0.1,68.5,68.5,0.972,0.11800000000000001,24.0,37883.0,4816.5,23.8,39322.0,16.0,0.889,0.915,0.905,0.902,12.2,12.2,12.2,24.0,19.8,13.5,3.2,0.672,0.792,0.7809999999999999,0.948,2.0,4.0,19737.0,91.1,49.9,70.8,60.0,83.6,86.8,80.4,0.9790000000000001,0.915,5.0,12.5,12.6,12.4,46.3,125.5,2.0,3.0,0.6,0.6,0.6,0.6,0.6,42.7,70.8,12.4,24.0,0.6,0.6,0.6,0.6,0.6,0.6,98.9,100.0,0.6,91.8,93.0,90.6,78.1,33.3,128.0,5.4,91.4,6.0,0.08,6.3,100.0,1.06,43.1,11.6,0.83,16.0,3.3,5.5,9.1,21.3,0.92
 Jordan,24.6,5.8,14.26,1.19,16.4,0.161,6.3,105.5,0.706,3.7,69.5,34.0,2471.0,14157.0,13.0,13.3,12.8,98.1,4.3,1.1,1.1,0.855,0.485,24.1,8491.0,77.8,23.4,8392.0,5.8,0.655,0.7659999999999999,0.733,0.669,16.4,16.4,16.4,24.1,16.9,20.5,11.9,0.5870000000000001,0.612,0.532,0.735,1.0,6.0,3761.0,60.1,13.9,63.8,39.2,74.2,75.9,72.5,0.8340000000000001,0.7659999999999999,58.0,10.3,10.0,10.7,22.1,150.6,15.5,18.1,23.9,23.9,23.9,23.9,23.9,6.3,63.8,16.5,24.1,23.9,23.9,23.9,23.9,23.9,23.9,98.6,96.7,23.9,81.3,78.5,85.6,5.5,0.3,9.2,1.2,90.3,-7.7,14.26,3.2,100.0,1.05,16.0,11.6,2.06,5.8,13.1,33.3,9.6,59.8,1.19
 Kazakhstan,29.8,79.0,0.1,1.15,10.1,0.563,3.9,45.7,0.8059999999999999,18.0,61.4,67.4,17227.0,29488.0,15.0,15.4,14.6,53.0,3.5,1.2,1.2,1.0070000000000001,0.20800000000000002,27.9,23524.0,412.7,22.9,23164.0,79.0,0.7979999999999999,0.7929999999999999,0.797,0.823,10.1,10.1,10.1,27.9,5.9,12.7,11.6,0.758,0.7170000000000001,0.718,0.6759999999999999,1.0,1.0,6430.0,70.8,65.4,77.0,70.9,69.7,74.4,65.0,0.765,0.7929999999999999,12.0,11.7,11.7,11.7,29.3,148.2,11.2,12.6,1.9,1.9,1.9,1.9,1.9,10.2,77.0,10.1,27.9,1.9,1.9,1.9,1.9,1.9,1.9,91.1,97.8,1.9,100.0,98.1,99.3,11.8,1.2,17.8,2.0,57.2,-4.9,0.1,1.6,100.0,1.06,48.7,20.1,1.36,79.0,4.9,4.6,25.6,40.3,1.15
 Kenya,83.7,380.0,2.45,1.3,29.4,0.19699999999999998,5.2,45.2,0.534,37.8,47.7,58.0,2387.0,3230.0,11.7,11.3,12.1,44.2,1.0,7.8,7.8,0.9309999999999999,0.5579999999999999,21.5,2836.0,134.0,21.6,2806.0,380.0,0.557,0.599,0.578,0.504,29.4,29.4,29.4,21.5,22.9,33.1,32.1,0.41200000000000003,0.408,0.337,0.488,4.0,4.0,1114.0,21.0,62.4,68.9,65.6,66.7,69.1,64.3,0.718,0.599,510.0,6.3,5.7,7.0,19.0,79.8,36.5,51.0,-0.2,-0.2,-0.2,-0.2,-0.2,4.6,68.9,29.5,21.5,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,58.5,29.8,-0.2,32.0,28.0,35.6,26.5,1.2,47.2,7.0,25.7,-0.3,2.45,72.7,16.0,1.03,39.4,20.8,1.9,380.0,11.6,26.2,54.7,73.7,1.3
 Korea (Republic of),1.7,79.0,0.47,0.94,15.9,0.14800000000000002,7.4,166.0,0.862,5.2,69.7,60.2,21235.0,47289.0,16.5,15.9,17.1,83.7,0.3,63.4,63.4,0.932,0.067,28.9,34178.0,1743.6,29.3,34276.0,79.0,0.861,0.924,0.898,0.882,15.9,15.9,15.9,28.9,25.5,18.4,3.7,0.642,0.7509999999999999,0.7190000000000001,0.917,2.0,2.0,13232.0,89.6,51.9,73.1,62.5,81.9,85.0,78.7,0.953,0.924,11.0,12.1,11.4,12.9,40.8,116.5,3.0,3.5,0.7,0.7,0.7,0.7,0.7,17.7,73.1,16.4,28.9,0.7,0.7,0.7,0.7,0.7,0.7,99.6,99.9,0.7,91.4,88.8,94.6,37.0,6.6,50.6,2.2,81.6,5.0,0.47,2.7,100.0,1.07,41.8,16.3,0.95,79.0,3.6,10.4,24.5,19.0,0.94
 Kuwait,10.0,22.0,0.03,1.4,20.2,0.629,4.0,87.0,0.616,3.4,70.1,68.9,41835.0,97229.0,13.6,14.3,12.9,98.7,0.2,0.4,0.4,0.9890000000000001,0.326,25.4,68476.0,269.5,22.9,73657.0,22.0,0.7879999999999999,0.797,0.802,0.997,20.2,20.2,20.2,25.4,17.45,21.299999999999997,7.2,0.5475,0.5645,0.508,0.779,1.0,7.0,1915.5,77.5,48.9,85.5,70.5,74.6,75.8,73.7,0.84,0.797,4.0,7.1,7.7,6.8,33.4,148.5,7.5,8.7,38.7,38.7,38.7,38.7,38.7,2.7,85.5,20.65,25.4,38.7,38.7,38.7,38.7,38.7,38.7,100.0,100.0,38.7,50.8,54.8,48.7,3.0,0.1,3.9,0.3,100.0,33.0,0.03,0.0,100.0,1.05,29.2,1.5,1.72,22.0,2.2,18.3,1.9,27.1,1.4
 Kyrgyzstan,39.9,144.0,25.27,1.19,12.1,0.439,8.2,19.1,0.728,29.3,49.8,57.7,2095.0,4093.0,13.3,13.6,12.9,111.0,17.1,3.3,3.3,0.966,0.39299999999999996,34.7,3238.0,19.3,33.0,3086.0,144.0,0.65,0.6729999999999999,0.6659999999999999,0.518,12.1,12.1,12.1,34.7,5.0,17.7,13.6,0.6920000000000001,0.584,0.426,0.675,1.0,1.0,3051.0,30.2,49.8,75.6,62.4,70.8,74.8,66.9,0.782,0.6729999999999999,76.0,10.8,10.9,10.7,25.3,129.2,19.9,22.3,-4.9,-4.9,-4.9,-4.9,-4.9,6.6,75.6,12.3,34.7,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,87.3,96.6,-4.9,98.7,98.8,98.7,3.8,0.3,5.9,0.7,35.8,-13.2,25.27,23.3,99.9,1.06,38.6,19.2,1.39,144.0,7.6,15.0,39.3,48.1,1.19
 Lao People's Democratic Republic,64.3,182.0,0.65,0.94,26.9,0.191,2.8,58.65,0.484,63.1,27.4,77.7,4877.0,6174.0,11.3,10.9,11.6,85.8,9.9,81.3,81.3,0.929,0.47,31.6,5755.0,38.4,31.6,5523.0,182.0,0.57,0.614,0.593,0.606,26.9,26.9,26.9,31.6,34.1,20.3,26.2,0.319,0.433,0.483,0.526,7.0,12.0,3543.0,18.2,76.8,79.6,78.2,66.3,67.8,64.8,0.713,0.614,197.0,5.1,4.5,5.6,22.7,55.9,50.4,66.1,-5.5,-5.5,-5.5,-5.5,-5.5,6.2,79.6,27.1,31.6,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,80.4,72.6,-5.5,36.4,30.4,42.8,4.2,0.3,6.7,0.8,33.1,-13.6,0.65,59.3,83.0,1.05,47.2,25.0,0.86,182.0,0.7,1.6,84.0,54.0,0.94
 Latvia,14.4,40.0,4.92,0.91,10.3,0.08800000000000001,5.8,58.1,0.866,7.9,68.4,54.3,18825.0,27679.0,15.8,16.5,15.1,121.3,3.1,54.0,54.0,1.0290000000000001,0.195,22.2,23019.0,45.5,22.1,22889.0,40.0,0.852,0.828,0.841,0.821,10.3,10.3,10.3,22.2,3.8,20.3,6.7,0.833,0.752,0.654,0.7809999999999999,2.0,4.0,2024.0,79.2,54.3,67.6,60.2,74.4,79.1,69.4,0.8370000000000001,0.828,18.0,12.8,13.2,12.5,42.5,130.0,4.3,5.0,-8.1,-8.1,-8.1,-8.1,-8.1,29.4,67.6,10.6,22.2,-8.1,-8.1,-8.1,-8.1,-8.1,-8.1,98.6,92.9,-8.1,99.1,99.4,99.1,1.3,0.4,2.0,0.1,68.0,6.1,4.92,38.1,100.0,1.06,52.0,18.0,0.78,40.0,9.9,16.3,8.3,23.1,0.91
 Lebanon,12.7,13.0,15.13,0.97,20.4,0.11900000000000001,7.4,196.2,0.63,3.2,74.9,44.0,5385.0,20890.0,12.5,12.4,12.7,74.1,4.8,13.4,13.4,0.888,0.386,21.4,13353.0,78.1,21.4,13174.0,13.0,0.696,0.7829999999999999,0.752,0.737,20.4,20.4,20.4,21.4,24.1,30.0,7.2,0.479,0.594,0.516,0.848,18.0,21.0,1518.0,74.0,22.9,70.6,46.9,79.4,81.3,77.8,0.914,0.7829999999999999,15.0,8.5,8.3,8.7,28.5,79.6,7.2,8.4,49.1,49.1,49.1,49.1,49.1,12.0,70.6,21.0,21.4,49.1,49.1,49.1,49.1,49.1,49.1,92.3,95.4,49.1,54.1,53.0,55.4,4.0,0.5,5.9,0.5,88.1,-4.5,15.13,3.6,100.0,1.05,24.6,3.1,1.28,13.0,6.2,15.8,25.6,35.4,0.97
 Lesotho,90.0,788.0,14.8,1.11,34.9,0.278,8.4,2.3,0.498,11.1,49.1,48.3,2442.0,3674.0,10.6,11.0,10.2,122.2,4.5,1.6,1.6,1.01,0.5479999999999999,28.8,2708.0,5.9,26.1,3039.0,788.0,0.512,0.506,0.511,0.516,34.9,34.9,34.9,28.8,24.3,47.0,33.5,0.377,0.32899999999999996,0.273,0.345,2.0,10.0,1082.0,25.0,59.1,74.0,66.2,53.7,56.0,51.3,0.519,0.506,487.0,6.1,7.0,5.3,21.3,98.4,74.5,97.9,-2.4,-2.4,-2.4,-2.4,-2.4,7.4,74.0,35.6,28.8,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,71.6,43.8,-2.4,23.0,23.6,22.5,1.3,0.1,2.2,0.3,26.9,-4.4,14.8,52.1,14.8,1.03,48.4,24.8,1.19,788.0,27.0,38.0,59.2,59.5,1.11
 Liberia,130.7,308.0,31.5,1.28,32.9,0.446,15.2,36.6,0.425,43.4,44.7,54.6,600.0,787.0,10.0,9.3,10.6,126.0,35.4,43.4,43.4,0.835,0.6559999999999999,20.2,785.0,3.5,20.2,694.0,308.0,0.392,0.469,0.43200000000000005,0.293,32.9,32.9,32.9,20.2,42.9,22.7,33.1,0.243,0.287,0.226,0.43200000000000005,23.0,36.0,1915.5,5.9,54.0,57.7,55.8,62.0,63.0,61.0,0.6459999999999999,0.469,725.0,4.4,3.0,6.0,18.6,81.2,52.9,70.1,-0.9,-0.9,-0.9,-0.9,-0.9,5.5,57.7,33.4,20.2,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,69.9,16.9,-0.9,28.3,17.3,39.7,2.5,0.1,4.5,0.7,49.8,-35.4,31.5,83.8,4.6,1.05,48.8,10.7,1.0,308.0,2.3,3.2,77.8,77.6,1.28
 Lithuania,12.5,55.0,3.31,1.02,10.2,0.133,6.5,47.2,0.88,9.1,65.9,53.9,22228.0,30251.0,16.1,16.6,15.6,152.2,2.3,34.8,34.8,1.0270000000000001,0.128,20.6,27046.0,78.6,19.6,25922.0,55.0,0.863,0.84,0.852,0.84,10.2,10.2,10.2,20.6,5.6,19.6,5.5,0.83,0.763,0.675,0.792,3.0,6.0,2071.0,71.4,54.6,65.0,59.3,74.5,79.7,69.1,0.838,0.84,10.0,13.0,13.0,13.0,42.7,142.7,4.1,5.1,-9.7,-9.7,-9.7,-9.7,-9.7,28.0,65.0,10.5,20.6,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,97.4,93.6,-9.7,93.1,91.1,95.6,2.0,0.5,2.9,0.2,67.2,-2.2,3.31,29.0,100.0,1.05,52.3,23.4,0.81,55.0,9.1,16.3,10.0,21.9,1.02
 Luxembourg,5.8,6.1,2.82,0.92,7.8,0.102,6.0,191.3,0.7879999999999999,1.1,86.4,55.4,49071.0,76603.0,14.0,14.1,13.9,410.2,27.7,33.5,33.5,0.968,0.071,18.1,94089.0,53.6,17.3,62889.0,6.1,0.883,0.912,0.899,0.973,7.8,7.8,7.8,18.1,5.8,15.1,2.6,0.742,0.8270000000000001,0.8270000000000001,0.9229999999999999,1.0,1.0,1090.0,97.3,53.6,65.2,59.4,81.6,83.8,79.4,0.948,0.912,10.0,12.0,11.6,12.3,39.3,142.4,2.1,2.5,18.1,18.1,18.1,18.1,18.1,20.1,65.2,8.0,18.1,18.1,18.1,18.1,18.1,18.1,18.1,100.0,97.6,18.1,100.0,100.0,99.4,0.4,0.1,0.6,0.0,90.2,-39.1,2.82,9.0,100.0,1.05,45.0,28.3,1.2,6.1,6.7,17.3,6.2,23.5,0.92
 Madagascar,114.8,236.0,2.79,1.0,26.8,0.295,5.2,18.8,0.498,74.5,16.4,85.0,1051.0,1597.0,10.6,10.5,10.6,67.6,5.3,21.4,21.4,0.943,0.3745,13.1,1377.0,33.4,13.1,1323.0,236.0,0.5,0.53,0.514,0.39,26.8,26.8,26.8,13.1,35.0,20.4,24.8,0.324,0.375,0.31,0.527,21.0,42.0,244.0,4.2,83.5,89.6,86.5,65.5,67.1,64.0,0.701,0.53,353.0,6.1,6.7,6.1,18.7,44.1,35.2,48.4,-0.1,-0.1,-0.1,-0.1,-0.1,5.1,89.6,27.0,13.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,50.6,9.7,-0.1,62.6,63.85,65.65,13.5,0.7,24.2,3.7,35.2,-4.3,2.79,70.2,98.6,1.03,53.1,20.5,1.12,236.0,1.8,3.0,85.6,75.0,1.0
 Malawi,142.2,193.0,0.65,1.07,31.2,0.488,9.3,17.0,0.445,84.9,6.9,72.5,886.0,1222.0,10.7,10.9,10.7,64.9,8.1,33.4,33.4,0.9329999999999999,0.623,12.2,1089.0,19.1,12.2,1052.0,193.0,0.45399999999999996,0.486,0.47,0.35600000000000004,31.2,31.2,31.2,12.2,28.2,32.5,32.7,0.32,0.324,0.24,0.441,7.0,13.0,805.0,9.3,72.4,82.0,77.1,62.7,65.2,60.0,0.6559999999999999,0.486,634.0,4.4,3.9,5.0,17.4,37.4,40.9,59.1,-0.4,-0.4,-0.4,-0.4,-0.4,5.7,82.0,31.2,12.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,67.2,43.5,-0.4,19.6,14.9,24.2,9.2,0.5,17.6,2.9,16.3,-8.3,0.65,83.6,3.9,1.03,32.0,16.7,1.38,193.0,5.9,7.8,60.4,85.3,1.07
 Malaysia,13.3,88.0,0.56,1.08,20.2,0.17,4.0,144.7,0.713,12.5,60.0,62.3,18526.0,29745.0,13.5,14.0,13.0,133.6,3.3,67.6,67.6,0.977,0.287,25.1,25002.0,768.1,26.1,24324.0,88.0,0.784,0.802,0.795,0.83,20.2,20.2,20.2,25.1,17.45,21.299999999999997,6.7,0.5475,0.5645,0.508,0.792,1.0,7.0,25721.0,71.1,50.3,77.4,64.3,75.1,77.5,73.0,0.848,0.802,40.0,10.2,9.9,10.3,27.7,143.6,7.0,8.2,5.3,5.3,5.3,5.3,5.3,8.5,77.4,20.65,25.1,5.3,5.3,5.3,5.3,5.3,5.3,96.4,99.6,5.3,77.1,78.0,80.7,21.3,1.8,30.7,2.6,74.2,2.7,0.56,5.2,100.0,1.06,39.6,13.2,1.17,88.0,3.1,10.8,22.0,36.1,1.08
 Maldives,7.6,46.0,0.09,0.99,23.4,0.7809999999999999,11.5,62.8,0.561,8.0,67.2,62.8,6706.0,16509.0,12.7,12.8,12.7,147.6,7.4,3.3,3.3,0.9209999999999999,0.359,23.35,13705.0,5.7,22.9,12251.0,46.0,0.674,0.731,0.71,0.726,23.4,23.4,23.4,23.35,40.0,23.2,7.1,0.337,0.535,0.5579999999999999,0.815,1.0,1.0,1234.0,54.5,44.5,81.8,66.2,77.0,78.2,76.1,0.878,0.731,68.0,6.3,6.2,6.3,27.9,176.8,7.7,9.0,11.2,11.2,11.2,11.2,11.2,5.7,81.8,24.6,23.35,11.2,11.2,11.2,11.2,11.2,11.2,97.9,95.9,11.2,42.1,39.8,44.3,0.3,0.0,0.4,0.0,38.5,-10.5,0.09,1.0,100.0,1.08,29.2,5.9,1.28,46.0,5.1,13.1,21.3,32.3,0.99
 Mali,174.0,57.0,7.03,1.06,32.7,0.774,5.8,24.4,0.28600000000000003,62.3,29.5,65.8,1184.0,2546.0,7.5,6.7,8.0,63.6,2.1,3.9,3.9,0.805,0.679,17.4,1919.0,33.5,16.7,1865.0,57.0,0.368,0.457,0.418,0.442,32.7,32.7,32.7,17.4,41.6,16.1,40.4,0.16699999999999998,0.27699999999999997,0.371,0.344,27.0,39.0,159.0,10.3,60.4,82.5,71.3,57.5,58.2,56.8,0.5770000000000001,0.457,587.0,2.3,1.7,3.0,16.0,129.9,69.6,114.2,-3.7,-3.7,-3.7,-3.7,-3.7,5.1,82.5,33.7,17.4,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,74.3,31.3,-3.7,11.5,7.3,16.2,8.7,0.4,17.5,3.3,40.0,-2.4,7.03,61.5,23.4,1.05,43.0,8.8,1.18,57.0,7.7,18.2,89.3,96.8,1.06
 Malta,17.1,8.6,2.13,0.85,8.0,0.36200000000000004,9.6,132.1,0.81,1.6,78.6,51.3,22799.0,42646.0,15.7,16.3,15.1,271.9,27.9,1.1,1.1,0.96,0.214,23.9,34087.0,15.2,24.4,32755.0,8.6,0.851,0.887,0.871,0.875,8.0,8.0,8.0,23.9,6.0,13.6,4.5,0.762,0.8009999999999999,0.7559999999999999,0.892,2.0,11.0,1783.0,76.2,41.6,66.8,54.2,80.7,82.3,79.0,0.934,0.887,9.0,11.2,10.9,11.5,40.9,122.6,6.0,6.9,4.5,4.5,4.5,4.5,4.5,27.3,66.8,8.1,23.9,4.5,4.5,4.5,4.5,4.5,4.5,100.0,100.0,4.5,76.9,72.7,81.2,0.3,0.1,0.4,0.0,94.4,-42.2,2.13,5.4,100.0,1.06,38.9,12.9,0.94,8.6,5.4,11.8,9.6,21.4,0.85
 Mauritania,82.4,107.0,1.95,1.08,31.9,0.371,4.6,58.65,0.381,75.9,16.5,44.4,1885.0,5101.0,8.6,8.5,8.6,109.4,10.4,0.2,0.2,0.838,0.627,54.8,3602.0,15.1,60.0,3505.0,107.0,0.46299999999999997,0.552,0.514,0.537,31.9,31.9,31.9,54.8,40.8,21.2,33.7,0.225,0.34700000000000003,0.423,0.44,13.0,30.0,1915.5,15.2,30.9,67.8,49.4,63.1,64.6,61.6,0.6629999999999999,0.552,602.0,4.3,3.3,5.4,19.7,87.1,55.7,83.9,2.1,2.1,2.1,2.1,2.1,5.5,67.8,32.4,54.8,2.1,2.1,2.1,2.1,2.1,2.1,69.6,44.6,2.1,17.3,11.1,23.5,2.4,0.1,4.2,0.6,51.1,-10.4,1.95,32.2,2.3,1.05,20.1,22.2,1.2,107.0,10.0,17.0,45.4,71.0,1.08
 Mauritius,27.5,22.0,0.01,1.22,14.3,0.21100000000000002,5.5,116.3,0.721,7.5,67.1,54.9,11938.0,25658.0,15.1,15.5,14.6,107.6,1.8,19.0,19.0,0.965,0.376,18.1,18864.0,23.8,17.4,18733.0,22.0,0.7659999999999999,0.7929999999999999,0.782,0.79,14.3,14.3,14.3,18.1,13.2,19.8,9.8,0.626,0.67,0.634,0.758,2.0,1.0,1151.0,50.1,46.2,73.6,59.7,74.6,78.2,71.1,0.84,0.7929999999999999,53.0,9.1,8.8,9.5,35.6,139.9,12.7,14.3,-1.9,-1.9,-1.9,-1.9,-1.9,14.1,73.6,14.4,18.1,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,99.9,93.1,-1.9,62.6,60.3,65.0,0.9,0.1,1.3,0.1,41.0,-0.6,0.01,11.5,100.0,1.04,38.6,11.6,2.11,22.0,7.9,26.0,17.0,27.5,1.22
