,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Jamaica,10.1,84.0,4.1,0.46,3.8,15.72,1.17,4.1,56.1,0.618,18.1,64.1,58.8,5673.0,10147.0,12.5,12.7,11.4,90.5,5.7,31.3,31.3,88.9,0.986,0.47100000000000003,4.6,26.9,8411.0,23.1,92.0,101.0,90.0,19.0,26.7,7887.0,2.0,4.1,61.0,0.695,0.705,0.695,0.66,26.9,1.0,16.0,1479.0,12.8,55.6,76.8,66.0,73.4,76.2,70.8,0.8220000000000001,0.705,92.0,8.1,9.4,8.8,26.2,72.2,115.0,17.0,194.0,19.9,-6.3,-6.3,-6.3,-6.3,-6.3,0.4,13.1,76.8,26.9,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,91.6,84.4,-6.3,66.2,55.5,54.1,1.7,0.2,2.7,0.3,52.8,61.0,-4.1,96.7,22.0,61.0,15.72,11.3,80.4,1.05,46.5,13.6,1.72,4.1,10.9,25.1,34.7,5.8,48.6,1.17
 Japan,8.3,5.7,24.0,0.27,9.7,0.02,0.88,7.8,296.8,0.779,4.5,67.7,57.9,24490.0,48919.0,14.6,14.5,14.8,26.5,0.1,68.4,68.4,81.6,0.963,0.146,3.4,24.7,35658.0,4556.1,87.0,100.0,98.0,54.0,24.6,36461.0,0.4,24.0,0.5,0.853,0.8859999999999999,0.873,0.8909999999999999,24.7,1.0,2.0,6728.0,66.9,48.4,73.6,60.6,82.3,85.6,78.7,0.958,0.8859999999999999,7.0,11.2,11.0,11.4,43.0,75.2,45.0,2.7,92.0,3.7,0.3,0.3,0.3,0.3,0.3,2.3,29.5,73.6,24.7,0.3,0.3,0.3,0.3,0.3,0.3,98.5,100.0,0.3,82.2,81.6,82.8,85.4,25.2,128.3,5.7,86.0,0.5,1.3,99.8,19.0,0.5,0.02,3.7,100.0,1.06,41.0,10.7,0.91,24.0,4.4,8.7,14.5,28.8,20.8,0.88
 Jordan,7.1,33.1,8.0,0.42,3.7,19.23,1.12,8.9,109.7,0.705,3.9,69.5,34.8,2077.0,15480.0,13.7,13.9,13.5,147.5,15.8,1.1,1.1,97.9,0.83,0.557,4.4,34.1,8800.0,50.3,57.0,101.0,85.0,37.0,30.6,8992.0,0.1,8.0,1.2,0.631,0.7609999999999999,0.7290000000000001,0.68,34.1,2.0,5.0,2987.0,12.9,12.2,67.6,40.9,72.6,74.2,71.2,0.809,0.7609999999999999,62.0,9.7,9.1,9.8,20.8,54.9,105.0,20.6,140.0,24.3,-3.5,-3.5,-3.5,-3.5,-3.5,5.5,5.7,67.6,34.1,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,99.2,98.2,-3.5,56.4,50.1,58.3,3.4,0.2,5.7,0.8,79.5,1.2,-17.0,98.2,22.0,1.2,19.23,1.7,97.4,1.05,12.8,7.3,1.99,8.0,14.8,33.6,10.6,15.4,64.2,1.12
 Kazakhstan,-9.7,29.1,186.0,0.73,11.7,0.11,1.22,4.0,39.0,0.789,32.4,49.6,63.9,10957.0,20194.0,14.3,14.7,13.9,97.8,4.5,1.2,1.2,98.7,1.02,0.36,2.3,31.0,16014.0,242.6,33.0,101.0,85.0,26.0,28.0,15407.0,0.1,186.0,3.6,0.752,0.737,0.747,0.7609999999999999,31.0,1.0,1.0,4365.0,3.0,64.4,75.3,69.5,65.2,71.1,59.6,0.696,0.737,44.0,11.7,11.8,11.5,28.6,34.7,159.0,28.2,389.0,32.1,0.6,0.6,0.6,0.6,0.6,0.4,11.3,75.3,31.0,0.6,0.6,0.6,0.6,0.6,0.6,87.9,97.2,0.6,99.3,94.2,97.9,10.5,1.2,15.5,1.2,56.5,3.6,3.2,99.4,17.0,3.6,0.11,2.1,98.6,1.06,48.9,8.6,1.43,186.0,8.1,8.3,34.6,2.2,36.1,1.22
 Kenya,3.1,104.2,630.0,0.11,0.2,2.27,1.29,5.1,37.4,0.455,41.5,44.0,58.0,1770.0,2682.0,9.4,9.2,9.7,64.5,0.1,7.1,7.1,15.2,0.8859999999999999,0.654,7.3,17.6,2224.0,80.2,47.0,101.0,48.0,3.0,18.7,2223.0,7.4,630.0,3.0,0.45799999999999996,0.517,0.49,0.469,17.6,15.0,31.0,1399.0,3.1,60.1,69.7,64.8,55.8,57.4,54.2,0.551,0.517,728.0,5.8,4.7,6.7,17.6,12.8,373.0,51.8,433.0,81.0,0.1,0.1,0.1,0.1,0.1,4.0,4.8,69.7,17.6,0.1,0.1,0.1,0.1,0.1,0.1,50.6,30.6,0.1,27.4,22.0,36.2,19.3,0.9,36.0,6.1,21.7,3.0,0.1,98.2,42.0,3.0,2.27,81.2,11.9,1.03,38.1,7.1,1.85,630.0,10.5,21.9,57.6,39.3,81.8,1.29
 Korea (Republic of),18.6,2.2,94.0,0.38,9.6,0.58,0.86,5.1,125.5,0.831,7.9,65.2,59.8,17367.0,33212.0,16.3,15.4,17.1,71.2,1.5,64.6,64.6,80.6,0.93,0.107,3.9,32.2,25517.0,1229.5,57.0,101.0,97.0,92.0,30.9,25315.0,0.4,94.0,3.6,0.82,0.882,0.855,0.836,32.2,2.0,1.0,6023.0,73.5,50.4,74.0,62.1,78.4,81.6,74.9,0.898,0.882,14.0,11.4,10.5,12.3,34.8,78.7,50.0,4.7,126.0,5.5,0.3,0.3,0.3,0.3,0.3,2.3,12.3,74.0,32.2,0.3,0.3,0.3,0.3,0.3,0.3,98.5,100.0,0.3,80.5,74.1,87.5,35.2,4.3,48.7,2.5,81.3,3.6,-0.2,98.2,28.0,3.6,0.58,0.9,100.0,1.1,40.7,13.4,0.82,94.0,3.7,10.2,32.2,0.3,26.0,0.86
 Kuwait,36.4,19.7,26.0,0.34,31.4,1.6949999999999998,0.95,2.4,55.3,0.583,2.7,76.6,67.2,51795.0,137106.0,14.1,15.0,13.2,92.2,0.3,0.3,0.3,73.95,0.9990000000000001,0.371,4.7,16.4,93470.0,212.8,57.0,104.0,109.0,26.0,14.6,102169.0,0.1,26.0,1.8,0.782,0.782,0.7829999999999999,1.0,16.4,1.0,1.0,104.0,25.9,46.3,82.3,68.5,73.5,74.6,72.8,0.823,0.782,6.0,5.8,6.5,5.9,28.2,60.7,65.0,10.1,100.0,11.8,2.5,2.5,2.5,2.5,2.5,2.3,3.0,82.3,16.4,2.5,2.5,2.5,2.5,2.5,2.5,100.0,100.0,2.5,43.6,46.4,42.2,1.6,0.0,2.3,0.2,100.0,1.8,22.3,98.6,12.0,1.8,1.6949999999999998,0.0,100.0,1.05,26.6,1.5,1.05,26.0,2.0,11.2,2.1,0.0,36.1,0.95
 Kyrgyzstan,3.8,34.4,210.0,0.46,1.1,12.73,1.08,7.5,13.8,0.687,38.5,43.9,59.6,1598.0,2930.0,12.6,12.8,12.2,95.1,1.7,4.5,4.5,66.0,0.9620000000000001,0.677,4.9,16.4,2370.0,12.2,13.0,99.0,87.0,43.0,16.2,2258.0,0.1,210.0,8.3,0.601,0.624,0.616,0.47100000000000003,16.4,2.0,1.0,319.0,10.5,54.1,76.1,64.9,67.0,71.2,63.1,0.7240000000000001,0.624,85.0,10.2,10.1,10.2,23.8,10.7,144.0,34.2,301.0,39.4,-6.9,-6.9,-6.9,-6.9,-6.9,11.3,8.9,76.1,16.4,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,82.3,93.3,-6.9,86.2,91.3,87.9,3.2,0.3,5.1,0.5,35.3,8.3,-1.8,97.9,24.0,8.3,12.73,28.0,99.2,1.05,42.9,0.1,1.23,210.0,8.1,14.5,49.1,42.1,48.8,1.08
 Lao People's Democratic Republic,2.1,75.0,270.0,0.08,0.2,0.03,0.91,4.8,8.1,0.39,78.5,16.2,77.7,2634.0,3491.0,9.0,8.1,9.9,71.8,1.0,73.1,73.1,73.95,0.867,0.5429999999999999,2.4,34.1,3115.0,17.9,9.0,112.0,44.0,8.0,34.1,3059.0,0.2,270.0,9.6,0.469,0.541,0.506,0.517,34.1,32.0,59.0,672.0,0.8,77.9,79.8,78.8,61.8,63.1,60.4,0.643,0.541,418.0,4.2,3.3,5.2,19.1,11.4,221.0,69.6,266.0,96.2,-5.3,-5.3,-5.3,-5.3,-5.3,11.1,6.5,79.8,34.1,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,58.1,43.4,-5.3,25.1,18.3,32.1,3.2,0.2,5.8,0.8,27.2,9.6,-1.0,14.6,31.0,9.6,0.03,77.2,43.8,1.05,43.7,22.9,0.93,270.0,1.4,3.0,88.1,98.9,71.8,0.91
 Latvia,3.9,17.3,75.0,0.19,3.4,2.24,1.18,8.9,42.7,0.841,12.1,61.5,51.5,13275.0,22155.0,15.7,16.8,14.7,100.8,4.8,53.0,53.0,63.2,1.035,0.217,4.4,35.1,17522.0,39.2,91.0,94.0,99.0,76.0,31.3,17347.0,0.5,75.0,5.6,0.815,0.787,0.802,0.779,35.1,1.0,2.0,1116.0,46.0,50.4,65.6,57.3,71.1,76.6,65.5,0.787,0.787,22.0,12.1,12.5,12.1,39.5,83.1,117.0,8.7,326.0,10.5,-6.3,-6.3,-6.3,-6.3,-6.3,2.3,24.6,65.6,35.1,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,97.9,88.3,-6.3,98.0,98.0,98.0,1.5,0.4,2.3,0.1,68.0,5.6,-2.7,100.0,12.0,5.6,2.24,36.3,100.0,1.05,50.8,21.0,0.99,75.0,10.0,15.1,8.2,28.8,21.4,1.18
 Lebanon,-6.1,19.3,11.0,0.33,4.1,23.13,0.98,7.6,181.4,0.619,3.4,77.8,42.5,4201.0,19842.0,13.2,13.1,13.4,96.4,12.3,13.3,13.3,94.0,0.8690000000000001,0.428,2.7,22.7,12269.0,48.9,73.0,103.0,80.0,44.0,22.7,12149.0,0.1,11.0,3.6,0.664,0.764,0.732,0.725,22.7,17.0,37.0,1140.0,10.1,20.4,70.7,46.2,76.8,78.7,75.0,0.8740000000000001,0.764,27.0,7.5,7.1,7.7,26.5,24.9,67.0,12.2,95.0,14.2,30.5,30.5,30.5,30.5,30.5,1.1,11.6,70.7,22.7,30.5,30.5,30.5,30.5,30.5,30.5,87.7,79.7,30.5,55.2,53.0,55.8,2.6,0.3,4.0,0.3,86.6,3.6,-11.5,98.2,15.0,3.6,23.13,6.9,100.0,1.05,21.6,4.7,1.39,11.0,8.1,21.2,28.3,0.6,43.2,0.98
 Lesotho,8.3,89.6,1280.0,0.53,1.0,35.63,1.11,5.3,-0.9,0.473,25.8,46.9,44.2,2295.0,3507.0,10.7,10.9,10.4,76.6,1.6,1.4,1.4,0.0,0.956,0.584,12.1,22.4,1959.0,3.8,29.0,117.0,39.0,4.0,21.7,2881.0,22.8,1280.0,3.6,0.44799999999999995,0.469,0.461,0.508,22.4,5.0,17.0,304.0,2.6,64.1,77.4,70.4,46.5,47.4,45.4,0.408,0.469,746.0,5.3,5.8,4.7,19.4,12.8,583.0,82.5,626.0,114.7,-4.2,-4.2,-4.2,-4.2,-4.2,3.1,8.1,77.4,22.4,-4.2,-4.2,-4.2,-4.2,-4.2,-4.2,68.1,19.6,-4.2,32.8,26.8,22.6,1.1,0.1,1.9,0.3,22.2,3.6,-0.1,98.2,42.0,3.6,35.63,55.3,4.6,1.03,53.9,17.0,1.14,1280.0,37.2,47.8,62.1,70.6,70.3,1.11
 Liberia,-40.6,147.4,267.0,0.37,0.2,5.79,0.82,8.5,188.4,0.40399999999999997,53.0,37.7,52.9,419.0,613.0,10.0,8.9,11.6,270.4,15.1,46.5,46.5,73.95,0.768,0.677,4.4,19.5,598.0,1.9,57.0,101.0,85.0,26.0,19.5,516.0,2.9,267.0,3.6,0.32899999999999996,0.428,0.37799999999999995,0.248,19.5,25.0,38.0,1116.0,10.1,53.0,59.2,56.1,55.1,55.9,54.2,0.539,0.428,1020.0,3.8,2.1,5.5,18.2,4.9,287.0,87.9,327.0,125.1,-3.3,-3.3,-3.3,-3.3,-3.3,56.3,5.6,59.2,19.5,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,64.5,14.3,-3.3,25.0,13.0,37.5,1.8,0.1,3.3,0.6,46.1,3.6,-15.1,98.2,22.0,3.6,5.79,88.2,94.80000000000001,1.05,46.4,13.8,0.61,267.0,5.6,4.7,80.7,89.6,80.7,0.82
 Libya,12.9,6.3,40.0,0.34,9.0,0.03,1.19,2.6,-41.5,0.642,8.7,63.1,41.8,9681.0,35646.0,15.4,15.6,15.1,90.9,2.2,0.1,0.1,99.1,0.917,0.27,4.4,9.5,26045.0,150.9,57.0,102.0,92.0,26.0,15.2,23070.0,0.4,40.0,3.7,0.705,0.769,0.747,0.8220000000000001,9.5,2.0,3.0,81.0,3.9,27.4,75.5,52.3,71.4,73.7,69.4,0.79,0.769,11.0,6.4,6.3,6.6,24.0,34.5,107.0,19.8,163.0,23.1,-0.7,-0.7,-0.7,-0.7,-0.7,0.1,6.1,75.5,9.5,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,91.2,99.7,-0.7,42.7,45.1,40.5,3.8,0.2,5.8,0.6,77.1,3.7,-1.1,98.2,22.0,3.7,0.03,1.8,97.5,1.06,23.4,4.7,1.59,40.0,20.0,46.8,36.5,2.3,45.7,1.19
 Lithuania,19.5,21.1,86.0,0.23,4.2,2.85,0.99,5.6,42.7,0.848,14.3,56.7,51.5,14326.0,22823.0,16.3,17.2,15.5,114.9,3.2,33.8,33.8,59.9,1.028,0.185,4.9,24.1,18527.0,61.6,67.0,94.0,103.0,80.0,23.4,18273.0,0.1,86.0,11.1,0.82,0.7979999999999999,0.809,0.787,24.1,2.0,3.0,2000.0,36.2,50.6,62.9,56.2,71.7,77.7,65.8,0.795,0.7979999999999999,12.0,11.8,11.7,12.1,38.5,130.2,113.0,7.2,332.0,9.0,-5.8,-5.8,-5.8,-5.8,-5.8,2.3,23.8,62.9,24.1,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,92.6,87.7,-5.8,87.0,83.7,91.1,2.2,0.5,3.3,0.1,66.6,11.1,-0.3,100.0,14.0,11.1,2.85,17.5,100.0,1.06,50.5,22.0,1.05,86.0,8.3,15.8,15.2,28.8,24.9,0.99
 Luxembourg,35.0,11.7,9.3,0.28,24.8,3.21,1.16,7.2,128.5,0.752,1.7,81.0,52.3,50270.0,94389.0,13.5,13.6,13.4,297.8,12.4,33.5,33.5,91.2,0.978,0.156,4.4,21.0,88610.0,41.2,87.0,101.0,95.0,26.0,19.1,72041.0,0.4,9.3,0.9,0.86,0.88,0.878,0.9940000000000001,21.0,1.0,5.0,913.0,70.0,45.4,64.7,54.8,78.9,81.8,75.9,0.9059999999999999,0.88,13.0,11.3,11.0,11.6,38.5,111.4,56.0,2.9,104.0,3.5,6.5,6.5,6.5,6.5,6.5,2.3,21.5,64.7,21.0,6.5,6.5,6.5,6.5,6.5,6.5,99.9,97.7,6.5,71.7,68.4,75.0,0.3,0.1,0.5,0.0,86.6,0.9,-106.4,98.2,11.0,0.9,3.21,1.9,100.0,1.05,41.7,23.3,1.66,9.3,4.5,13.6,5.3,28.8,27.8,1.16
 Madagascar,-0.9,149.5,262.0,0.07,0.1,1.7,1.03,5.5,12.8,0.43799999999999994,82.0,14.6,84.6,1142.0,1597.0,9.1,8.8,9.4,73.8,1.7,22.1,22.1,73.95,0.94,0.428,3.8,22.2,1390.0,25.5,7.0,139.0,21.0,3.0,22.2,1368.0,0.2,262.0,10.0,0.672,0.715,0.479,0.395,22.2,12.0,26.0,277.0,0.6,84.2,89.2,86.6,61.2,62.5,59.9,0.634,0.715,508.0,5.6,7.5,7.9,17.5,2.8,241.0,54.3,286.0,82.0,-0.1,-0.1,-0.1,-0.1,-0.1,18.5,5.6,89.2,22.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,40.8,6.2,-0.1,55.2,51.7,55.8,9.6,0.5,18.3,3.1,28.8,10.0,-2.2,98.2,54.0,10.0,1.7,80.5,94.80000000000001,1.02,47.5,8.4,1.09,262.0,2.3,3.9,89.1,88.4,85.4,1.03
 Malawi,-13.3,155.7,397.0,0.08,0.1,0.62,1.08,6.1,9.5,0.373,85.0,5.9,71.1,694.0,973.0,9.4,9.2,9.6,57.4,3.8,36.1,36.1,73.95,0.868,0.654,4.4,17.1,840.0,11.0,57.0,124.0,27.0,0.0,15.2,832.0,12.9,397.0,1.5,0.353,0.406,0.38,0.32,17.1,1.0,18.0,438.0,0.4,74.2,80.1,77.1,49.8,51.4,48.2,0.45899999999999996,0.406,648.0,3.4,2.5,4.4,16.4,3.2,479.0,70.2,578.0,115.4,-0.6,-0.6,-0.6,-0.6,-0.6,15.9,5.6,80.1,17.1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,56.8,37.5,-0.6,10.0,5.7,14.6,6.6,0.4,13.0,2.3,15.1,1.5,-3.6,59.0,22.0,1.5,0.62,83.8,2.0,1.02,34.5,13.6,1.4,397.0,7.8,10.5,64.4,89.1,92.6,1.08
 Malaysia,17.7,13.0,69.0,0.37,6.8,0.78,1.06,2.9,117.7,0.608,14.6,55.6,59.0,10526.0,24679.0,12.7,13.1,12.3,203.9,2.7,63.6,63.6,96.8,0.935,0.324,4.4,22.4,18577.0,476.7,62.0,100.0,85.0,26.0,22.3,17778.0,0.7,69.0,2.4,0.6990000000000001,0.748,0.731,0.7829999999999999,22.4,2.0,4.0,16431.0,48.6,44.0,77.5,61.1,73.5,75.8,71.4,0.823,0.748,52.0,7.6,6.8,7.9,25.0,76.2,91.0,7.0,168.0,8.1,5.3,5.3,5.3,5.3,5.3,0.0,6.8,77.5,22.4,5.3,5.3,5.3,5.3,5.3,5.3,97.5,97.9,5.3,46.5,42.9,49.9,16.7,1.1,25.7,2.5,66.6,2.4,1.9,98.1,17.0,2.4,0.78,4.9,96.6,1.06,36.8,13.1,1.21,69.0,3.5,11.3,21.2,3.2,46.8,1.06
 Maldives,8.3,23.9,48.0,0.2,1.9,0.19,0.99,8.8,47.0,0.451,14.4,59.5,61.4,5374.0,11092.0,12.0,12.1,11.9,76.6,4.6,3.3,3.3,0.0,0.925,0.42100000000000004,5.0,22.4,9274.0,3.0,75.0,119.0,85.0,26.0,21.7,8388.0,0.4,48.0,3.6,0.603,0.652,0.631,0.669,22.4,1.0,3.0,395.0,6.9,50.4,75.7,63.9,74.2,75.8,73.1,0.833,0.652,101.0,3.5,3.2,3.7,22.1,63.9,82.0,19.2,107.0,22.6,9.2,9.2,9.2,9.2,9.2,6.8,6.7,75.7,22.4,9.2,9.2,9.2,9.2,9.2,9.2,94.3,87.6,9.2,16.3,10.7,15.0,0.2,0.0,0.3,0.0,33.8,3.6,-4.6,91.6,20.0,3.6,0.19,1.8,87.2,1.06,39.1,12.0,1.14,48.0,3.8,8.2,30.8,22.0,49.2,0.99
 Mali,4.7,186.3,69.0,0.04,0.1,2.84,1.09,5.0,14.1,0.226,44.8,40.1,48.6,1020.0,2409.0,6.1,5.2,7.0,54.1,2.6,4.5,4.5,73.95,0.7509999999999999,0.723,3.5,20.9,1761.0,22.5,3.0,74.0,26.0,26.0,20.2,1712.0,1.5,69.0,12.7,0.303,0.40299999999999997,0.363,0.429,20.9,4.0,27.0,143.0,0.5,38.2,69.9,53.7,52.1,52.7,51.4,0.493,0.40299999999999997,714.0,1.7,0.8,2.0,16.5,6.0,293.0,94.9,312.0,171.8,-1.1,-1.1,-1.1,-1.1,-1.1,12.0,5.8,69.9,20.9,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,57.7,23.3,-1.1,10.3,2.2,8.9,6.4,0.4,12.8,2.5,32.1,12.7,-3.4,98.2,54.0,12.7,2.84,85.8,3.0,1.05,43.0,10.2,1.34,69.0,9.5,14.7,87.4,77.3,93.3,1.09
 Malta,8.3,20.4,6.2,0.25,6.7,3.48,0.99,8.7,149.2,0.737,2.1,68.1,45.0,12745.0,38409.0,14.8,14.7,14.6,211.2,341.1,1.1,1.1,99.9,0.9129999999999999,0.305,4.4,21.3,26344.0,10.6,93.0,97.0,102.0,32.0,22.0,25521.0,0.1,6.2,1.0,0.778,0.852,0.8240000000000001,0.8370000000000001,21.3,6.0,14.0,1171.0,41.2,29.6,67.6,48.4,78.9,80.6,77.2,0.907,0.852,13.0,9.8,9.3,10.3,38.2,79.6,48.0,6.0,83.0,6.9,2.7,2.7,2.7,2.7,2.7,2.3,19.7,67.6,21.3,2.7,2.7,2.7,2.7,2.7,2.7,100.0,100.0,2.7,63.2,58.8,67.8,0.3,0.1,0.4,0.0,93.6,1.0,63.2,99.7,18.0,1.0,3.48,0.2,100.0,1.06,31.1,9.2,1.33,6.2,6.9,16.2,9.4,28.8,25.8,0.99
 Mauritania,8.3,95.3,181.0,0.17,0.5,1.6949999999999998,1.08,4.5,52.3,0.311,77.9,13.3,45.3,1520.0,4697.0,7.2,7.1,7.2,113.2,37.2,0.3,0.3,73.95,0.81,0.428,4.4,61.5,2986.0,9.3,57.0,91.0,22.0,3.0,59.0,3111.0,0.9,181.0,12.4,0.41,0.506,0.466,0.519,61.5,15.0,35.0,1116.0,0.7,30.2,71.4,50.6,60.7,62.3,59.1,0.627,0.506,750.0,3.4,2.3,4.4,18.7,23.8,197.0,67.7,246.0,109.4,0.5,0.5,0.5,0.5,0.5,8.4,5.7,71.4,61.5,0.5,0.5,0.5,0.5,0.5,0.5,59.4,30.2,0.5,12.2,6.4,18.4,1.7,0.1,3.1,0.5,42.1,12.4,-2.2,98.2,40.0,12.4,1.6949999999999998,38.8,1.6,1.05,19.2,13.9,1.25,181.0,10.4,17.0,49.8,29.9,76.8,1.08
 Mauritius,9.4,36.5,23.0,0.22,2.7,0.01,1.27,3.7,107.2,0.614,10.0,57.6,53.0,7429.0,18268.0,13.4,13.4,13.5,125.7,0.7,18.8,18.8,77.4,0.9279999999999999,0.369,4.2,22.5,12442.0,15.3,101.0,103.0,89.0,21.0,21.4,12801.0,0.4,23.0,3.0,0.682,0.735,0.713,0.733,22.5,1.0,2.0,761.0,15.2,41.1,76.8,58.7,72.4,75.8,69.2,0.807,0.735,39.0,7.2,6.7,7.8,30.5,53.8,107.0,13.9,215.0,15.7,-3.2,-3.2,-3.2,-3.2,-3.2,0.5,9.6,76.8,22.5,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,99.5,92.0,-3.2,47.6,43.1,50.7,0.8,0.1,1.2,0.1,42.1,3.0,0.3,99.2,22.0,3.0,0.01,17.7,99.8,1.04,33.5,17.1,2.85,23.0,9.6,26.1,16.8,2.1,36.0,1.27
 Mexico,10.4,76.1,21.0,0.27,4.3,2.59,1.11,5.9,31.0,0.595,14.8,59.5,58.9,9301.0,21345.0,12.3,12.5,12.2,62.4,3.0,34.5,34.5,88.6,0.937,0.43,4.9,22.1,15792.0,1712.9,86.0,105.0,80.0,23.0,20.7,15291.0,0.2,21.0,9.1,0.6990000000000001,0.746,0.728,0.76,22.1,1.0,4.0,21915.0,17.2,41.3,81.5,61.1,75.3,77.8,72.9,0.852,0.746,54.0,7.6,7.2,7.9,24.2,43.4,89.0,17.6,158.0,20.6,-5.5,-5.5,-5.5,-5.5,-5.5,0.0,8.6,81.5,22.1,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,92.5,80.9,-5.5,46.9,44.5,49.6,67.6,5.8,108.5,11.7,76.3,9.1,-0.7,93.3,28.0,9.1,2.59,10.3,96.6,1.05,38.4,23.7,1.15,21.0,3.6,6.8,30.7,9.7,51.8,1.11
